ascent,descent,timestamp,altitude,battery_soc,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,speed,distance,temperature,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,calories,year,month,day,hour,wind_speed,wind_direction
0,0,2022-10-07 11:21:38,-3.3999999999999773,9.0,-3.3999999999999773,4.319,2.0,0.0,50.5116444,-84.8170917,4.319,,,,,,,,,,,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:39,-3.3999999999999773,,-3.3999999999999773,2.912,2.0,0.0,50.5116809,-84.8170826,2.912,0.0,25.0,,,,,,,,,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:40,-3.3999999999999773,,-3.3999999999999773,3.244,2.0,0.0,50.5117173,-84.8170735,3.244,3.52,25.0,26.0,14.0,48.0,53.5,66.0,15.5,53.0,,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:41,-3.3999999999999773,,-3.3999999999999773,3.316,3.0,0.0,50.5117537,-84.8170553,3.316,7.06,25.0,37.0,14.5,44.0,52.0,38.0,20.5,58.0,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:42,-3.3999999999999773,,-3.3999999999999773,3.757,3.0,0.0,50.5117901,-84.8170371,3.757,10.96,25.0,48.0,15.0,57.0,50.5,34.0,25.0,63.5,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:43,-3.3999999999999773,,-3.3999999999999773,2.147,3.0,0.0,50.5118219,-84.8170098,2.147,14.22,25.0,55.0,13.0,70.0,45.0,38.0,23.0,59.5,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:44,-3.3999999999999773,,-3.3999999999999773,3.033,3.0,0.0,50.5118538,-84.8170007,3.033,17.17,25.0,58.0,9.5,83.0,35.0,37.0,14.5,46.5,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:45,-3.3999999999999773,,-3.3999999999999773,2.111,3.0,0.0,50.5118674,-84.8169825,2.111,18.99,25.0,65.0,11.5,97.0,40.0,31.0,11.5,40.0,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:46,-3.3999999999999773,,-3.3999999999999773,3.351,3.0,0.0,50.5118857,-84.816937,3.351,22.66,25.0,65.0,15.0,77.0,50.5,36.0,10.5,35.5,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:47,-3.1999999999999886,,-3.1999999999999886,3.065,3.0,0.0,50.5118948,-84.8168823,3.065,26.77,25.0,48.0,18.5,61.0,59.0,38.0,9.5,33.0,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:48,-3.1999999999999886,,-3.1999999999999886,3.518,3.0,0.0,50.5118902,-84.8168368,3.518,29.96,25.0,28.0,20.0,60.0,63.0,39.0,10.5,35.5,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:49,-3.1999999999999886,,-3.1999999999999886,3.91,3.0,0.0,50.5118902,-84.816764,3.91,34.97,25.0,9.0,21.0,60.0,67.0,41.0,11.0,38.5,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:50,-3.1999999999999886,,-3.1999999999999886,3.474,3.0,0.0,50.5118993,-84.8167094,3.474,38.88,25.0,0.0,22.5,59.0,71.5,0.0,11.5,41.0,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:51,-3.1999999999999886,,-3.1999999999999886,4.14,3.0,0.35,50.5119084,-84.8166457,4.14,43.08,25.0,0.0,24.0,58.0,75.5,0.0,12.0,43.5,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:52,-3.1999999999999886,,-3.1999999999999886,3.364,3.0,0.9,50.5119266,-84.8166093,3.364,46.15,25.0,0.0,25.5,58.0,79.5,0.0,12.5,46.0,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:53,-3.1999999999999886,,-3.1999999999999886,3.431,3.0,0.8,50.5119585,-84.816582,3.431,49.6,24.0,0.0,27.0,57.0,83.5,0.0,13.5,48.5,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:54,-3.1999999999999886,,-3.1999999999999886,3.601,3.0,0.43,50.5119949,-84.8165547,3.601,53.26,24.0,0.0,28.0,57.0,88.0,0.0,14.0,51.0,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:55,-3.1999999999999886,,-3.1999999999999886,4.908,3.0,0.0,50.5120449,-84.8165274,4.908,58.59,24.0,0.0,29.5,56.0,92.0,0.0,14.5,53.5,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:56,-3.3999999999999773,,-3.3999999999999773,5.046,3.0,0.0,50.5120859,-84.8164727,5.046,63.7,24.0,46.0,31.0,55.0,96.0,42.0,15.0,56.0,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:57,-3.3999999999999773,,-3.3999999999999773,5.28,3.0,0.0,50.5121132,-84.816409,5.28,69.05,24.0,69.0,31.5,55.0,98.5,155.0,15.0,55.5,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:58,-3.3999999999999773,,-3.3999999999999773,5.22,3.0,0.0,50.5121451,-84.8163453,5.22,74.26,24.0,77.0,30.0,55.0,97.0,243.0,12.0,46.5,0.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:21:59,-3.6000000000000227,,-3.6000000000000227,6.005,3.0,0.0,50.5121815,-84.8162725,6.005,80.51,24.0,82.0,28.5,54.0,96.0,271.0,9.0,37.5,1.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:00,-3.6000000000000227,,-3.6000000000000227,7.396,3.0,0.0,50.5122224,-84.8161815,7.396,88.09,24.0,86.0,26.0,54.0,92.0,246.0,19.5,72.5,1.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:01,-3.6000000000000227,,-3.6000000000000227,7.665,3.0,0.0,50.5122634,-84.8160722,7.665,96.27,24.0,94.0,27.0,60.0,92.5,236.0,27.5,93.5,1.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:02,-3.6000000000000227,,-3.6000000000000227,7.098,3.0,0.0,50.5122998,-84.8159812,7.098,103.17,24.0,93.0,28.5,63.0,95.5,229.0,29.0,89.0,1.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:03,-3.8000000000000114,,-3.8000000000000114,7.615,3.0,0.0,50.5123453,-84.8158902,7.615,110.94,24.0,90.0,26.0,61.0,93.5,249.0,28.5,83.0,2.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:04,-3.8000000000000114,,-3.8000000000000114,8.022,3.0,0.0,50.5123908,-84.8157901,8.022,119.08,24.0,89.0,25.5,63.0,95.5,236.0,27.0,91.5,2.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:05,-3.8000000000000114,,-3.8000000000000114,7.556,3.0,0.0,50.5124363,-84.8156991,7.556,126.49,24.0,92.0,26.0,61.0,94.0,223.0,30.0,90.5,2.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:06,-3.8000000000000114,,-3.8000000000000114,7.606,3.0,0.0,50.5124773,-84.815608,7.606,134.1,24.0,93.0,26.0,61.0,91.5,221.0,29.5,86.0,2.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:07,-3.8000000000000114,,-3.8000000000000114,7.82,3.0,0.0,50.5125183,-84.8155079,7.82,142.01,24.0,94.0,25.5,62.0,87.5,219.0,26.0,82.0,3.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:08,-4.0,,-4.0,8.206,3.0,0.0,50.5125638,-84.8153987,8.206,150.34,24.0,97.0,25.0,59.0,81.5,218.0,26.0,81.5,3.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:09,-4.0,,-4.0,8.13,3.0,0.0,50.5126047,-84.8152986,8.13,158.43,24.0,98.0,19.0,51.0,75.0,184.0,22.0,69.5,3.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:10,-4.0,,-4.0,8.078,3.0,0.0,50.5126502,-84.8152075,8.078,166.39,24.0,94.0,22.5,59.0,83.0,166.0,21.0,71.5,3.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:11,-4.0,,-4.0,8.56,3.0,0.0,50.5126958,-84.8150892,8.56,175.22,24.0,93.0,24.5,61.0,83.5,169.0,21.0,74.5,3.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:12,-4.0,,-4.0,8.507,3.0,0.0,50.5127458,-84.8149891,8.507,183.69,24.0,94.0,24.0,62.0,81.0,178.0,21.5,74.5,3.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:13,-4.0,,-4.0,8.249,3.0,0.0,50.5127959,-84.814889,8.249,191.87,24.0,95.0,27.5,63.0,96.0,195.0,23.5,75.0,4.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:14,-4.0,,-4.0,8.643,3.0,0.0,50.5128414,-84.8147797,8.643,200.64,24.0,97.0,28.0,65.0,97.5,256.0,27.0,81.0,4.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:15,-4.0,,-4.0,8.718,3.0,0.0,50.5128914,-84.8146705,8.718,209.34,24.0,98.0,28.5,66.0,98.0,270.0,29.5,86.5,4.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:16,-4.0,,-4.0,9.093,3.0,0.0,50.5129415,-84.8145522,9.093,218.6,24.0,91.0,28.5,65.0,98.0,268.0,32.5,92.5,4.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:17,-4.0,,-4.0,8.987,3.0,0.0,50.512987,-84.814443,8.987,227.55,24.0,68.0,27.0,80.0,92.0,241.0,33.5,96.0,5.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:18,-4.199999999999989,,-4.199999999999989,9.032,3.0,0.0,50.5130371,-84.8143246,9.032,236.59,24.0,95.0,20.0,91.0,72.5,196.0,29.5,91.0,5.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:19,-4.199999999999989,,-4.199999999999989,9.051,3.0,0.0,50.5130871,-84.8142245,9.051,245.51,24.0,102.0,26.5,59.0,86.0,186.0,20.5,61.5,5.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:20,-4.199999999999989,,-4.199999999999989,8.959,3.0,0.0,50.5131327,-84.8140971,8.959,254.53,23.0,102.0,25.0,56.0,79.0,184.0,22.0,66.5,5.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:21,-4.199999999999989,,-4.199999999999989,8.753,3.0,0.0,50.5131782,-84.8139878,8.753,263.64,23.0,101.0,23.0,57.0,73.5,158.0,23.0,70.0,5.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:22,-4.199999999999989,,-4.199999999999989,8.503,3.0,0.0,50.5132237,-84.8138786,8.503,271.85,23.0,100.0,23.0,62.0,74.0,139.0,21.0,65.0,5.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:23,-4.199999999999989,,-4.199999999999989,8.502,3.0,0.0,50.5132737,-84.8137694,8.502,281.05,23.0,95.0,25.5,71.0,79.5,115.0,21.0,68.5,6.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:24,-4.199999999999989,,-4.199999999999989,8.643,3.0,0.0,50.5133238,-84.8136511,8.643,290.31,23.0,93.0,27.5,67.0,85.0,126.0,21.0,71.5,6.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:25,-4.199999999999989,,-4.199999999999989,10.963,2.0,0.0,50.5133921,-84.8135145,10.963,301.94,23.0,93.0,27.5,65.0,91.0,141.0,21.5,72.0,6.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:26,-4.199999999999989,,-4.199999999999989,11.129,2.0,0.0,50.5134603,-84.813378,11.129,313.14,23.0,94.0,26.0,63.0,91.5,153.0,22.5,71.0,6.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:27,-4.199999999999989,,-4.199999999999989,10.321,2.0,0.0,50.513515,-84.8132506,10.321,323.13,23.0,94.0,25.0,61.0,79.5,157.0,22.5,71.5,6.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:28,-4.199999999999989,,-4.199999999999989,10.185,2.0,0.0,50.5135696,-84.8131231,10.185,333.32,23.0,94.0,29.0,64.0,93.0,156.0,25.5,77.0,6.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:29,-4.199999999999989,,-4.199999999999989,10.137,2.0,0.0,50.5136196,-84.8129957,10.137,343.44,23.0,94.0,28.5,66.0,91.0,163.0,26.0,77.5,6.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:30,-4.199999999999989,,-4.199999999999989,9.939,2.0,0.0,50.5136697,-84.8128683,9.939,353.29,23.0,94.0,27.0,68.0,86.0,167.0,25.5,77.0,7.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:31,-4.199999999999989,,-4.199999999999989,10.196,2.0,0.0,50.5137289,-84.8127408,10.196,363.6,23.0,94.0,25.0,65.0,81.5,165.0,24.0,72.0,7.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:32,-4.199999999999989,,-4.199999999999989,9.695,2.0,0.0,50.5137789,-84.8126316,9.695,372.97,23.0,94.0,21.0,57.0,80.0,160.0,18.0,59.0,7.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:33,-4.199999999999989,,-4.199999999999989,9.278,2.0,0.0,50.513829,-84.8125133,9.278,382.22,23.0,93.0,22.5,50.0,82.0,194.0,21.5,66.5,7.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:34,-4.199999999999989,,-4.199999999999989,9.083,2.0,0.0,50.513879,-84.812395,9.083,391.28,23.0,94.0,25.5,58.0,89.5,211.0,21.0,71.0,7.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:35,-4.199999999999989,,-4.199999999999989,9.15,2.0,0.0,50.5139246,-84.8122857,9.15,400.43,23.0,94.0,25.0,58.0,87.0,203.0,21.5,71.5,8.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:36,-4.199999999999989,,-4.199999999999989,9.126,2.0,0.0,50.5139746,-84.8121674,9.126,409.47,23.0,94.0,22.5,59.0,82.5,188.0,23.0,68.5,8.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:37,-4.199999999999989,,-4.199999999999989,8.909,2.0,0.0,50.5140201,-84.8120491,8.909,418.37,23.0,94.0,26.0,62.0,93.5,178.0,23.0,65.5,8.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:38,-4.199999999999989,,-4.199999999999989,8.989,2.0,0.0,50.5140656,-84.8119398,8.989,427.35,23.0,94.0,27.5,65.0,95.0,160.0,26.0,79.5,8.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:39,-4.199999999999989,,-4.199999999999989,8.727,2.0,0.0,50.514102,-84.8118306,8.727,435.73,23.0,95.0,27.0,68.0,91.0,160.0,24.0,77.0,8.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:40,-4.199999999999989,,-4.199999999999989,9.108,2.0,0.0,50.5141476,-84.8117032,9.108,445.26,23.0,94.0,25.5,69.0,86.0,160.0,21.0,71.0,8.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:41,-4.199999999999989,,-4.199999999999989,8.835,2.0,0.0,50.5141885,-84.811594,8.835,454.03,23.0,93.0,24.5,69.0,81.5,155.0,18.5,65.0,9.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:42,-4.199999999999989,,-4.199999999999989,8.713,2.0,0.0,50.514234,-84.8114847,8.713,462.66,23.0,93.0,25.0,69.0,82.5,156.0,17.0,63.5,9.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:43,-4.199999999999989,,-4.199999999999989,8.75,2.0,0.0,50.5142795,-84.8113755,8.75,471.41,22.0,93.0,28.0,63.0,89.5,170.0,18.5,63.0,9.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:44,-4.199999999999989,,-4.199999999999989,8.559,2.0,0.0,50.5143296,-84.8112663,8.559,479.87,22.0,93.0,28.0,61.0,91.0,184.0,20.5,66.0,9.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:45,-4.199999999999989,,-4.199999999999989,8.749,2.0,0.0,50.5143797,-84.811157,8.749,488.73,22.0,93.0,25.5,60.0,87.0,192.0,23.5,72.0,9.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:46,-4.199999999999989,,-4.199999999999989,8.742,2.0,0.0,50.5144252,-84.8110478,8.742,497.47,22.0,94.0,23.0,61.0,83.5,194.0,26.5,77.5,9.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:47,-4.199999999999989,,-4.199999999999989,8.688,2.0,0.0,50.5144616,-84.8109568,8.688,504.85,22.0,94.0,23.5,61.0,84.5,176.0,26.0,76.5,10.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:48,-4.0,,-4.0,8.718,2.0,0.0,50.5145162,-84.8108294,8.718,514.93,22.0,94.0,24.0,65.0,85.5,163.0,25.5,76.0,10.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:49,-4.0,,-4.0,8.743,2.0,0.0,50.5145572,-84.810711,8.743,523.63,22.0,94.0,25.0,67.0,86.5,151.0,25.0,75.5,10.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:50,-4.0,,-4.0,8.708,2.0,0.0,50.5145981,-84.8106018,8.708,532.14,22.0,94.0,25.5,67.0,87.5,156.0,24.5,74.5,10.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:51,-4.0,,-4.0,8.471,2.0,0.0,50.5146436,-84.8104926,8.471,541.01,22.0,94.0,26.5,68.0,89.0,167.0,24.0,74.5,10.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:52,-4.199999999999989,,-4.199999999999989,8.493,2.0,0.0,50.5146891,-84.8103834,8.493,549.35,22.0,95.0,30.0,69.0,97.0,169.0,25.0,77.5,10.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:53,-4.199999999999989,,-4.199999999999989,8.211,3.0,0.0,50.5147301,-84.8102741,8.211,557.86,22.0,94.0,25.0,69.0,86.0,157.0,22.5,72.0,11.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:54,-4.199999999999989,,-4.199999999999989,8.495,3.0,0.0,50.5147893,-84.810174,8.495,567.01,22.0,94.0,22.5,70.0,79.0,146.0,20.0,63.5,11.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:55,-4.199999999999989,,-4.199999999999989,8.28,3.0,0.0,50.5148393,-84.8100739,8.28,575.41,22.0,94.0,22.5,71.0,78.0,142.0,17.5,56.0,11.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:56,-4.199999999999989,,-4.199999999999989,8.295,3.0,0.0,50.5148894,-84.8099829,8.295,583.44,22.0,94.0,20.5,71.0,78.0,173.0,16.5,53.5,11.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:57,-4.199999999999989,,-4.199999999999989,8.437,3.0,0.0,50.5149577,-84.8098736,8.437,592.9,22.0,94.0,23.0,72.0,85.0,212.0,18.5,60.5,11.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:58,-4.199999999999989,,-4.199999999999989,8.401,3.0,0.0,50.5150214,-84.8097917,8.401,601.25,22.0,95.0,25.0,69.0,92.0,223.0,19.0,61.5,11.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:22:59,-4.199999999999989,,-4.199999999999989,8.506,3.0,0.0,50.5150851,-84.8097007,8.506,609.88,22.0,96.0,25.0,69.0,92.5,213.0,19.5,62.0,12.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:00,-4.199999999999989,,-4.199999999999989,8.398,3.0,0.0,50.5151534,-84.8096097,8.398,618.73,22.0,96.0,24.5,69.0,89.0,200.0,20.0,63.0,12.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:01,-4.199999999999989,,-4.199999999999989,8.374,3.0,0.0,50.5152216,-84.8095278,8.374,627.45,22.0,96.0,23.5,70.0,85.0,167.0,20.5,64.0,12.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:02,-4.399999999999977,,-4.399999999999977,8.377,3.0,0.0,50.5153126,-84.8094458,8.377,637.55,22.0,95.0,23.0,70.0,81.0,154.0,21.0,65.0,12.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:03,-4.399999999999977,,-4.399999999999977,8.138,3.0,0.0,50.5153809,-84.8093548,8.138,646.27,22.0,93.0,21.0,71.0,75.5,146.0,19.5,61.5,12.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:04,-4.600000000000023,,-4.600000000000023,8.009,3.0,0.0,50.5154401,-84.8092638,8.009,654.59,22.0,93.0,20.0,72.0,72.5,147.0,18.5,59.0,12.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:05,-4.600000000000023,,-4.600000000000023,8.582,3.0,0.0,50.5155129,-84.8091819,8.582,663.54,21.0,92.0,21.5,71.0,77.5,157.0,20.5,65.5,13.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:06,-4.399999999999977,,-4.399999999999977,8.567,3.0,0.0,50.5155812,-84.8090999,8.567,672.17,21.0,94.0,23.5,70.0,82.5,183.0,23.0,72.0,13.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:07,-4.399999999999977,,-4.399999999999977,8.659,3.0,0.0,50.5156449,-84.809018,8.659,680.59,21.0,89.0,22.5,68.0,80.5,176.0,23.5,73.0,13.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:08,-4.399999999999977,,-4.399999999999977,8.237,3.0,0.0,50.5157131,-84.808927,8.237,689.26,21.0,78.0,21.5,68.0,77.5,167.0,23.5,73.0,13.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:09,-4.199999999999989,,-4.199999999999989,7.911,3.0,0.0,50.5157678,-84.8088451,7.911,697.09,21.0,67.0,22.0,69.0,80.0,157.0,24.0,74.0,13.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:10,-4.199999999999989,,-4.199999999999989,7.634,3.0,0.0,50.5158269,-84.8087723,7.634,704.61,21.0,86.0,24.5,68.0,92.5,158.0,24.5,76.0,13.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:11,-4.199999999999989,,-4.199999999999989,7.918,3.0,0.0,50.5158906,-84.8086903,7.918,712.56,21.0,93.0,24.0,64.0,91.5,189.0,24.5,76.0,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:12,-4.199999999999989,,-4.199999999999989,7.472,3.0,0.0,50.5159452,-84.8086084,7.472,720.08,21.0,93.0,24.5,69.0,86.5,194.0,25.5,77.0,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:13,-4.199999999999989,,-4.199999999999989,7.573,3.0,0.0,50.5160044,-84.8085356,7.573,727.65,21.0,90.0,24.5,68.0,83.5,181.0,25.5,76.5,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:14,-4.199999999999989,,-4.199999999999989,7.739,3.0,0.0,50.5160636,-84.8084537,7.739,735.5,21.0,64.0,24.0,65.0,82.5,167.0,24.5,74.5,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:15,-4.199999999999989,,-4.199999999999989,7.098,3.0,0.0,50.5161136,-84.8083809,7.098,742.4,21.0,37.0,24.5,61.0,82.5,153.0,24.0,72.5,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:16,-4.199999999999989,,-4.199999999999989,7.279,3.0,0.0,50.5161682,-84.8083081,7.279,749.62,21.0,10.0,28.5,57.0,85.0,139.0,22.5,70.5,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:17,-4.199999999999989,,-4.199999999999989,6.999,3.0,0.0,50.5162229,-84.8082352,6.999,756.75,21.0,2.0,32.5,52.0,87.5,0.0,21.5,69.0,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:18,-4.0,,-4.0,7.121,3.0,0.0,50.5162775,-84.8081715,7.121,763.59,21.0,20.0,37.0,48.0,90.0,3.0,20.0,67.5,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:19,-4.0,,-4.0,7.32,3.0,0.0,50.5163321,-84.8080987,7.32,770.72,21.0,66.0,40.0,51.0,92.0,19.0,19.0,66.0,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:20,-4.0,,-4.0,7.329,3.0,0.0,50.5163913,-84.8080259,7.329,778.05,21.0,85.0,37.0,68.0,89.5,127.0,19.0,65.0,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:21,-4.0,,-4.0,7.168,3.0,0.0,50.5164459,-84.8079531,7.168,785.09,21.0,86.0,34.0,67.0,86.5,150.0,19.0,64.5,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:22,-3.8000000000000114,,-3.8000000000000114,7.16,3.0,0.0,50.516505,-84.8078894,7.16,792.26,21.0,76.0,31.0,66.0,84.0,140.0,19.0,64.0,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:23,-3.8000000000000114,,-3.8000000000000114,5.9,3.0,0.0,50.5165505,-84.8078256,5.9,798.45,21.0,47.0,27.5,66.0,81.0,112.0,19.0,63.0,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:24,-3.8000000000000114,,-3.8000000000000114,4.433,3.0,0.0,50.5165915,-84.8077801,4.433,803.1,21.0,19.0,,,,85.0,,,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:25,-3.6000000000000227,,-3.6000000000000227,3.072,3.0,0.0,50.5166143,-84.8077528,3.072,806.11,21.0,0.0,,,,0.0,,,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:26,-3.6000000000000227,,-3.6000000000000227,2.343,3.0,0.0,50.5166325,-84.8077255,2.343,808.49,21.0,0.0,,,,0.0,,,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:27,-3.6000000000000227,,-3.6000000000000227,2.192,3.0,0.0,50.5166461,-84.8076982,2.192,810.95,21.0,0.0,,,,0.0,,,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:28,-3.3999999999999773,,-3.3999999999999773,1.764,3.0,0.0,50.5166598,-84.8076709,1.764,813.38,21.0,0.0,,,,0.0,,,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:29,-3.3999999999999773,,-3.3999999999999773,1.787,3.0,0.0,50.5166734,-84.8076345,1.787,815.77,21.0,0.0,,,,0.0,,,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:30,-3.3999999999999773,,-3.3999999999999773,1.797,3.0,0.0,50.5166871,-84.8076163,1.797,817.63,20.0,0.0,,,,0.0,,,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:31,-3.3999999999999773,,-3.3999999999999773,1.194,3.0,0.0,50.5167007,-84.8075981,1.194,819.56,20.0,0.0,,,,0.0,,,14.0,2022,10,7,11,2.47,122.0
0,0,2022-10-07 11:23:42,-3.1999999999999886,,-3.1999999999999886,1.545,1.0,0.0,50.516769,-84.8075253,1.545,819.56,20.0,0.0,,,,0.0,,,14.0,2022,10,7,11,2.47,122.0
