distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,ascent,battery_soc,descent,enhanced_altitude,grade,cadence,calories,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
0.0,6.189,2,50.5195679,-84.8097826,6.189,2023-04-20 14:14:14,,,,,,,,,,,,,,,,2023,4,20,14,1.7,28.0
5.15,6.174,2,50.5196192,-84.8098092,6.174,2023-04-20 14:14:15,-1.6000000000000227,0.0,21.0,0.0,-1.6000000000000227,1.1,,,,,,,,,,2023,4,20,14,1.7,28.0
10.29,6.159,2,50.5196704,-84.8098358,6.159,2023-04-20 14:14:16,-1.6000000000000227,0.0,,0.0,-1.6000000000000227,1.52,88.0,0.0,21.5,45.0,77.0,191.0,22.5,82.5,,2023,4,20,14,1.7,28.0
15.93,5.953,2,50.5197267,-84.8098629,5.953,2023-04-20 14:14:17,-1.6000000000000227,0.0,,0.0,-1.6000000000000227,1.81,88.0,0.0,22.0,45.0,78.5,186.0,22.0,82.0,,2023,4,20,14,1.7,28.0
21.93,5.831,2,50.5197886,-84.8098957,5.831,2023-04-20 14:14:18,-1.8000000000000114,1.0,,0.0,-1.8000000000000114,1.8,88.0,0.0,22.0,51.0,80.5,190.0,22.0,81.0,,2023,4,20,14,1.7,28.0
28.33,5.821,2,50.5198549,-84.809921,5.821,2023-04-20 14:14:19,-1.8000000000000114,1.0,,0.0,-1.8000000000000114,0.83,88.0,0.0,24.0,53.0,81.0,194.0,21.5,80.5,15.0,2023,4,20,14,1.7,28.0
34.89,5.727,2,50.519923,-84.8099447,5.727,2023-04-20 14:14:20,-2.0,1.0,,0.0,-2.0,0.0,87.0,0.0,25.5,54.0,84.5,197.0,21.0,80.0,15.0,2023,4,20,14,1.7,28.0
40.99,5.811,2,50.5199856,-84.8099719,5.811,2023-04-20 14:14:21,-2.1999999999999886,1.0,,0.0,-2.1999999999999886,0.0,85.0,0.0,26.5,56.0,89.5,204.0,21.0,79.0,15.0,2023,4,20,14,1.7,28.0
46.77,5.836,2,50.5200419,-84.8100045,5.836,2023-04-20 14:14:22,-2.1999999999999886,1.0,,0.0,-2.1999999999999886,0.0,86.0,1.0,27.0,57.0,93.5,203.0,21.0,79.0,15.0,2023,4,20,14,1.7,28.0
52.27,5.62,2,50.5200956,-84.8100404,5.62,2023-04-20 14:14:23,-2.3999999999999773,1.0,,0.0,-2.3999999999999773,-0.5,85.0,1.0,27.5,56.0,93.0,203.0,22.5,81.0,15.0,2023,4,20,14,1.7,28.0
57.79,5.495,2,50.5201504,-84.8100716,5.495,2023-04-20 14:14:24,-2.8000000000000114,1.0,,1.0,-2.8000000000000114,-1.26,84.0,1.0,28.0,54.0,92.0,209.0,24.0,83.0,15.0,2023,4,20,14,1.7,28.0
63.78,5.422,2,50.5202059,-84.8101102,5.422,2023-04-20 14:14:25,-2.8000000000000114,1.0,,1.0,-2.8000000000000114,-1.68,82.0,1.0,27.5,51.0,90.0,226.0,24.0,84.5,15.0,2023,4,20,14,1.7,28.0
69.19,5.263,2,50.5202538,-84.8101545,5.263,2023-04-20 14:14:26,-2.6000000000000227,1.0,,1.0,-2.6000000000000227,-1.8,81.0,2.0,25.0,50.0,82.0,249.0,24.0,86.5,15.0,2023,4,20,14,1.7,28.0
74.3,5.097,2,50.5203023,-84.8101898,5.097,2023-04-20 14:14:27,-2.6000000000000227,1.0,,1.0,-2.6000000000000227,-1.71,82.0,2.0,19.0,49.0,65.5,257.0,24.5,89.0,15.0,2023,4,20,14,1.7,28.0
79.74,4.834,3,50.5203564,-84.8102233,4.834,2023-04-20 14:14:28,-2.6000000000000227,1.0,,1.0,-2.6000000000000227,-1.59,82.0,2.0,13.0,44.0,49.5,254.0,25.5,91.5,15.0,2023,4,20,14,1.7,28.0
85.18,4.617,3,50.5204081,-84.8102596,4.617,2023-04-20 14:14:29,-2.6000000000000227,1.0,,1.0,-2.6000000000000227,-0.75,64.0,2.0,7.0,18.0,33.5,224.0,26.0,94.0,15.0,2023,4,20,14,1.7,28.0
89.55,3.999,3,50.5204472,-84.8102905,3.999,2023-04-20 14:14:30,-2.8000000000000114,1.0,,1.0,-2.8000000000000114,-0.52,67.0,2.0,11.5,62.0,47.0,196.0,26.0,92.0,15.0,2023,4,20,14,1.7,28.0
93.36,3.777,3,50.5204845,-84.8103178,3.777,2023-04-20 14:14:31,-3.0,1.0,,1.0,-3.0,-0.94,76.0,3.0,20.5,71.0,74.0,262.0,25.5,87.5,15.0,2023,4,20,14,1.7,28.0
97.57,4.088,3,50.5205256,-84.8103452,4.088,2023-04-20 14:14:32,-3.0,1.0,,1.0,-3.0,-0.87,78.0,3.0,28.5,60.0,95.5,292.0,25.0,86.0,15.0,2023,4,20,14,1.7,28.0
102.83,4.956,3,50.5205771,-84.8103669,4.956,2023-04-20 14:14:33,-2.8000000000000114,1.0,,1.0,-2.8000000000000114,-0.85,79.0,3.0,28.0,51.0,91.5,303.0,25.5,96.0,15.0,2023,4,20,14,1.7,28.0
109.56,6.295,3,50.5206474,-84.8103797,6.295,2023-04-20 14:14:34,-2.8000000000000114,1.0,,1.0,-2.8000000000000114,-0.42,82.0,4.0,28.0,50.0,90.5,312.0,25.5,96.0,15.0,2023,4,20,14,1.7,28.0
116.39,6.697,3,50.5207196,-84.8103998,6.697,2023-04-20 14:14:35,-2.8000000000000114,1.0,,1.0,-2.8000000000000114,0.0,83.0,4.0,27.5,51.0,90.5,312.0,26.0,95.0,15.0,2023,4,20,14,1.7,28.0
123.05,6.663,3,50.5207906,-84.8104216,6.663,2023-04-20 14:14:36,-2.6000000000000227,1.0,,1.0,-2.6000000000000227,0.0,83.0,4.0,27.5,52.0,90.0,300.0,26.0,93.5,15.0,2023,4,20,14,1.7,28.0
129.33,6.38,3,50.5208575,-84.8104343,6.38,2023-04-20 14:14:37,-2.1999999999999886,1.0,,1.0,-2.1999999999999886,0.0,82.0,5.0,28.5,51.0,91.5,289.0,24.5,91.0,15.0,2023,4,20,14,1.7,28.0
136.78,7.187,3,50.5209379,-84.8104434,7.187,2023-04-20 14:14:38,-2.0,1.0,,1.0,-2.0,0.63,80.0,5.0,29.0,48.0,94.0,254.0,23.0,85.0,15.0,2023,4,20,14,1.7,28.0
143.43,6.818,3,50.5210068,-84.8104688,6.818,2023-04-20 14:14:39,-1.6000000000000227,1.0,,1.0,-1.6000000000000227,1.64,81.0,5.0,29.5,52.0,96.5,224.0,21.5,79.5,15.0,2023,4,20,14,1.7,28.0
148.94,5.844,3,50.5210614,-84.8104998,5.844,2023-04-20 14:14:40,-1.1999999999999886,2.0,,1.0,-1.1999999999999886,2.41,83.0,5.0,29.0,54.0,97.5,288.0,20.5,76.0,15.0,2023,4,20,14,1.7,28.0
155.05,6.034,3,50.5211244,-84.8105272,6.034,2023-04-20 14:14:41,-0.8000000000000114,2.0,,1.0,-0.8000000000000114,3.12,85.0,6.0,27.0,53.0,95.0,309.0,21.5,79.0,15.0,2023,4,20,14,1.7,28.0
160.8,5.81,3,50.5211819,-84.8105545,5.81,2023-04-20 14:14:42,-0.39999999999997726,2.0,,1.0,-0.39999999999997726,3.77,87.0,6.0,26.5,52.0,89.5,309.0,25.0,94.0,15.0,2023,4,20,14,1.7,28.0
166.15,5.478,3,50.5212344,-84.8105872,5.478,2023-04-20 14:14:43,0.0,3.0,,1.0,0.0,4.28,88.0,6.0,26.0,55.0,85.0,286.0,23.0,85.5,15.0,2023,4,20,14,1.7,28.0
171.6,5.463,3,50.5212861,-84.8106234,5.463,2023-04-20 14:14:44,0.39999999999997726,3.0,,1.0,0.39999999999997726,4.68,89.0,6.0,26.5,58.0,86.0,252.0,22.5,83.0,15.0,2023,4,20,14,1.7,28.0
178.04,6.229,3,50.5213494,-84.8106597,6.229,2023-04-20 14:14:45,0.8000000000000114,3.0,,1.0,0.8000000000000114,5.0,89.0,7.0,28.0,56.0,89.0,231.0,22.5,84.0,15.0,2023,4,20,14,1.7,28.0
184.64,6.483,3,50.521417,-84.8106908,6.483,2023-04-20 14:14:46,1.1999999999999886,4.0,,1.0,1.1999999999999886,5.26,88.0,7.0,28.0,53.0,90.0,238.0,23.0,85.0,15.0,2023,4,20,14,1.7,28.0
191.49,6.726,3,50.521487,-84.8107129,6.726,2023-04-20 14:14:47,1.3999999999999773,4.0,,1.0,1.3999999999999773,5.44,88.0,7.0,23.0,52.0,79.0,232.0,21.5,86.0,15.0,2023,4,20,14,1.7,28.0
197.88,6.499,3,50.5215538,-84.810731,6.499,2023-04-20 14:14:48,1.8000000000000114,5.0,,1.0,1.8000000000000114,5.43,88.0,7.0,25.5,56.0,83.0,221.0,20.5,83.5,15.0,2023,4,20,14,1.7,28.0
203.86,6.114,3,50.5216149,-84.8107547,6.114,2023-04-20 14:14:49,2.0,5.0,,1.0,2.0,5.29,88.0,7.0,22.0,51.0,75.5,200.0,19.0,75.5,15.0,2023,4,20,14,1.7,28.0
209.5,5.764,3,50.5216716,-84.8107821,5.764,2023-04-20 14:14:50,2.3999999999999773,5.0,,1.0,2.3999999999999773,5.14,84.0,8.0,17.0,38.0,64.0,149.0,18.0,69.5,15.0,2023,4,20,14,1.7,28.0
214.75,5.356,3,50.5217264,-84.810804,5.356,2023-04-20 14:14:51,2.3999999999999773,6.0,,1.0,2.3999999999999773,4.93,61.0,8.0,14.0,21.0,53.5,116.0,17.5,68.0,15.0,2023,4,20,14,1.7,28.0
219.86,5.168,3,50.5217779,-84.8108275,5.168,2023-04-20 14:14:52,2.6000000000000227,6.0,,1.0,2.6000000000000227,4.65,44.0,8.0,11.0,,35.0,98.0,15.5,60.0,15.0,2023,4,20,14,1.7,28.0
225.31,5.396,3,50.5218334,-84.8108494,5.396,2023-04-20 14:14:53,2.6000000000000227,6.0,,1.0,2.6000000000000227,4.24,30.0,8.0,,,,87.0,,,15.0,2023,4,20,14,1.7,28.0
230.99,5.63,3,50.521895,-84.8108513,5.63,2023-04-20 14:14:54,2.8000000000000114,6.0,,1.0,2.8000000000000114,3.78,15.0,8.0,,,,77.0,,,15.0,2023,4,20,14,1.7,28.0
234.9,4.324,3,50.5219371,-84.810853,4.324,2023-04-20 14:14:55,3.0,6.0,,1.0,3.0,3.38,1.0,8.0,,,,0.0,,,15.0,2023,4,20,14,1.7,28.0
237.77,3.251,3,50.521967,-84.8108513,3.251,2023-04-20 14:14:56,3.1999999999999886,6.0,,1.0,3.1999999999999886,2.97,0.0,8.0,,,,0.0,,,15.0,2023,4,20,14,1.7,28.0
240.11,2.564,3,50.5219935,-84.8108476,2.564,2023-04-20 14:14:57,3.1999999999999886,7.0,,1.0,3.1999999999999886,2.62,0.0,8.0,,,,0.0,,,15.0,2023,4,20,14,1.7,28.0
240.86,0.868,3,50.522011,-84.8108585,0.868,2023-04-20 14:14:58,3.1999999999999886,7.0,,1.0,3.1999999999999886,2.38,0.0,8.0,,,,0.0,,,15.0,2023,4,20,14,1.7,28.0
240.86,0.0,3,50.5220274,-84.8108658,0.0,2023-04-20 14:14:59,3.1999999999999886,7.0,,1.0,3.1999999999999886,1.14,0.0,8.0,,,,0.0,,,15.0,2023,4,20,14,1.7,28.0
240.86,0.0,3,50.5220424,-84.8108658,0.0,2023-04-20 14:15:00,3.1999999999999886,7.0,,1.0,3.1999999999999886,0.0,0.0,8.0,,,,0.0,,,15.0,2023,4,20,14,1.7,28.0
240.86,0.0,3,50.5220483,-84.8108658,0.0,2023-04-20 14:15:01,3.1999999999999886,7.0,,1.0,3.1999999999999886,0.0,0.0,8.0,,,,0.0,,,15.0,2023,4,20,14,1.7,28.0
240.86,0.0,3,50.5220483,-84.8108658,0.0,2023-04-20 14:15:02,3.1999999999999886,7.0,,1.0,3.1999999999999886,0.0,0.0,8.0,,,,0.0,,,15.0,2023,4,20,14,1.7,28.0
240.86,0.0,3,50.5220483,-84.8108658,0.0,2023-04-20 14:15:03,3.0,7.0,,1.0,3.0,0.0,0.0,8.0,,,,0.0,,,15.0,2023,4,20,14,1.7,28.0
240.86,0.0,3,50.5220483,-84.8108658,0.0,2023-04-20 14:15:04,3.1999999999999886,7.0,,1.0,3.1999999999999886,0.0,0.0,8.0,,,,0.0,,,14.0,2023,4,20,14,1.7,28.0
240.86,0.0,3,50.5220483,-84.8108658,0.0,2023-04-20 14:15:05,3.1999999999999886,7.0,,1.0,3.1999999999999886,0.0,0.0,8.0,,,,0.0,,,14.0,2023,4,20,14,1.7,28.0
240.86,0.0,3,50.5220483,-84.8108658,0.0,2023-04-20 14:15:06,3.1999999999999886,7.0,,1.0,3.1999999999999886,0.0,0.0,8.0,,,,0.0,,,14.0,2023,4,20,14,1.7,28.0
240.86,0.0,2,50.5220483,-84.8108658,0.0,2023-04-20 14:15:07,3.1999999999999886,7.0,,1.0,3.1999999999999886,0.0,0.0,8.0,,,,0.0,,,14.0,2023,4,20,14,1.7,28.0
