altitude,cadence,calories,distance,enhanced_altitude,enhanced_speed,gps_accuracy,heart_rate,left_right_balance,position_lat,position_long,power,speed,timestamp,ascent,battery_soc,descent,grade,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
37.200000000000045,78,0,0.0,37.200000000000045,6.975,2,110,58.0,50.5126366,-84.8150255,164,6.975,2023-05-24 13:59:54,,,,,,,,,,2023,5,24,13,1.39,30.0
35.799999999999955,78,0,4.47,35.799999999999955,6.928,2,110,60.0,50.5126603,-84.8149661,166,6.928,2023-05-24 13:59:55,0.0,95.0,0.0,-2.14,21.0,81.5,27.0,92.5,,2023,5,24,13,1.39,30.0
34.200000000000045,79,0,11.75,34.200000000000045,7.047,2,110,62.0,50.512704,-84.8148786,166,7.047,2023-05-24 13:59:56,0.0,,0.0,-4.75,21.5,80.0,22.0,71.0,,2023,5,24,13,1.39,30.0
32.799999999999955,79,0,19.74,32.799999999999955,7.271,2,109,59.0,50.5127536,-84.8147824,167,7.271,2023-05-24 13:59:57,0.0,,3.0,-8.21,22.0,80.5,21.0,70.0,,2023,5,24,13,1.39,30.0
31.799999999999955,80,0,27.23,31.799999999999955,7.426,2,109,55.0,50.5127956,-84.8146913,165,7.426,2023-05-24 13:59:58,0.0,,5.0,-11.83,23.0,81.0,23.0,83.0,22.0,2023,5,24,13,1.39,30.0
31.0,81,0,34.54,31.0,7.302,2,110,53.0,50.5128404,-84.8146067,159,7.302,2023-05-24 13:59:59,0.0,,6.0,-14.87,22.5,76.5,21.0,79.0,22.0,2023,5,24,13,1.39,30.0
30.399999999999977,81,0,41.9,30.399999999999977,7.347,2,111,52.0,50.5128896,-84.8145245,157,7.347,2023-05-24 14:00:00,0.0,,8.0,-16.8,22.0,71.5,19.0,75.5,22.0,2023,5,24,14,1.33,13.0
30.0,81,1,49.24,30.0,7.435,2,112,49.0,50.5129382,-84.8144382,159,7.435,2023-05-24 14:00:01,0.0,,9.0,-17.29,21.5,75.5,19.0,74.5,22.0,2023,5,24,14,1.33,13.0
29.600000000000023,80,1,57.36,29.600000000000023,7.955,2,112,46.0,50.5129883,-84.8143403,157,7.955,2023-05-24 14:00:02,0.0,,10.0,-16.28,21.0,77.0,18.5,71.5,22.0,2023,5,24,14,1.33,13.0
29.399999999999977,81,1,65.34,29.399999999999977,7.948,2,113,47.0,50.5130386,-84.8142466,133,7.948,2023-05-24 14:00:03,0.0,,10.0,-13.93,20.0,74.5,17.0,66.0,22.0,2023,5,24,14,1.33,13.0
29.0,83,1,73.24,29.0,7.976,2,113,50.0,50.513085,-84.8141491,123,7.976,2023-05-24 14:00:04,0.0,,10.0,-10.59,19.0,72.0,15.5,60.5,22.0,2023,5,24,14,1.33,13.0
28.799999999999955,83,1,81.24,28.799999999999955,7.914,2,113,53.0,50.5131312,-84.8140545,139,7.914,2023-05-24 14:00:05,0.0,,11.0,-7.86,20.0,71.0,14.0,57.0,22.0,2023,5,24,14,1.33,13.0
28.600000000000023,83,1,89.02,28.600000000000023,7.787,2,113,56.0,50.5131699,-84.813956,146,7.787,2023-05-24 14:00:06,0.0,,11.0,-5.84,20.5,72.0,14.5,58.5,22.0,2023,5,24,14,1.33,13.0
28.600000000000023,83,1,96.79,28.600000000000023,7.811,2,113,57.0,50.5132093,-84.8138571,153,7.811,2023-05-24 14:00:07,0.0,,11.0,-4.35,21.0,75.0,16.0,62.5,22.0,2023,5,24,14,1.33,13.0
28.399999999999977,83,2,105.01,28.399999999999977,8.083,2,113,56.0,50.5132472,-84.813749,151,8.083,2023-05-24 14:00:08,0.0,,11.0,-3.27,21.5,77.5,18.0,67.0,22.0,2023,5,24,14,1.33,13.0
28.399999999999977,84,2,112.79,28.399999999999977,8.091,2,113,57.0,50.513282,-84.8136444,144,8.091,2023-05-24 14:00:09,0.0,,12.0,-2.52,22.5,74.0,17.0,65.0,22.0,2023,5,24,14,1.33,13.0
28.399999999999977,83,2,121.12,28.399999999999977,8.073,2,113,58.0,50.5133233,-84.813538,145,8.073,2023-05-24 14:00:10,0.0,,12.0,-1.99,22.5,75.0,17.5,65.0,22.0,2023,5,24,14,1.33,13.0
28.399999999999977,84,2,129.15,28.399999999999977,8.058,2,114,58.0,50.5133673,-84.8134388,147,8.058,2023-05-24 14:00:11,0.0,,12.0,-1.62,22.0,76.5,18.0,66.5,22.0,2023,5,24,14,1.33,13.0
28.399999999999977,84,2,136.99,28.399999999999977,7.875,2,114,57.0,50.5134093,-84.8133389,160,7.875,2023-05-24 14:00:12,0.0,,12.0,-1.32,22.5,77.0,19.0,69.0,22.0,2023,5,24,14,1.33,13.0
28.200000000000045,84,2,144.76,28.200000000000045,7.788,2,114,56.0,50.5134539,-84.8132453,163,7.788,2023-05-24 14:00:13,0.0,,12.0,-1.05,22.5,77.5,20.0,71.5,22.0,2023,5,24,14,1.33,13.0
28.200000000000045,84,2,152.27,28.200000000000045,7.656,2,114,58.0,50.513499,-84.8131549,160,7.656,2023-05-24 14:00:14,0.0,,12.0,-0.88,23.0,78.0,21.0,74.0,22.0,2023,5,24,14,1.33,13.0
28.200000000000045,84,3,160.23,28.200000000000045,7.83,2,114,58.0,50.5135452,-84.8130557,143,7.83,2023-05-24 14:00:15,0.0,,12.0,-0.13,23.5,80.0,20.0,74.5,22.0,2023,5,24,14,1.33,13.0
28.399999999999977,83,3,168.31,28.399999999999977,8.031,2,114,58.0,50.513594,-84.8129629,139,8.031,2023-05-24 14:00:16,0.0,,12.0,0.0,24.0,82.0,19.0,74.5,22.0,2023,5,24,14,1.33,13.0
28.399999999999977,81,3,176.38,28.399999999999977,8.032,2,114,56.0,50.5136408,-84.8128644,135,8.032,2023-05-24 14:00:17,0.0,,12.0,0.0,25.0,84.5,18.0,74.5,22.0,2023,5,24,14,1.33,13.0
28.399999999999977,66,3,183.9,28.399999999999977,7.64,2,114,51.0,50.5136827,-84.8127717,129,7.64,2023-05-24 14:00:18,0.0,,12.0,0.0,25.5,87.0,17.0,74.0,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,48,3,190.9,28.399999999999977,7.3,2,114,47.0,50.513719,-84.8126834,123,7.3,2023-05-24 14:00:19,0.0,,12.0,0.0,26.0,89.5,16.0,74.0,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,39,3,198.2,28.200000000000045,7.228,3,114,47.0,50.5137564,-84.8125901,73,7.228,2023-05-24 14:00:20,0.0,,12.0,0.0,27.0,92.0,15.0,74.0,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,56,3,205.79,28.200000000000045,7.422,3,114,70.0,50.513797,-84.8124903,101,7.422,2023-05-24 14:00:21,0.0,,12.0,0.0,27.5,94.5,14.0,74.0,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,77,3,213.38,28.200000000000045,7.562,3,114,72.0,50.5138377,-84.8123978,157,7.562,2023-05-24 14:00:22,0.0,,12.0,0.0,28.0,95.0,13.0,74.0,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,82,4,220.76,28.200000000000045,7.72,3,114,53.0,50.5138731,-84.812299,190,7.72,2023-05-24 14:00:23,0.0,,12.0,0.0,27.0,91.5,14.0,73.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,83,4,228.92,28.200000000000045,7.846,3,114,51.0,50.5139172,-84.8122002,198,7.846,2023-05-24 14:00:24,0.0,,12.0,0.0,26.0,88.5,15.0,73.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,83,4,236.65,28.200000000000045,7.555,3,113,50.0,50.5139624,-84.8121033,187,7.555,2023-05-24 14:00:25,0.0,,12.0,0.0,25.0,85.0,16.0,73.0,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,83,4,244.62,28.200000000000045,7.455,3,113,50.0,50.5140093,-84.812007,184,7.455,2023-05-24 14:00:26,0.0,,12.0,0.0,24.5,81.5,16.5,73.0,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,82,4,252.65,28.200000000000045,7.762,3,113,52.0,50.514055,-84.8119087,182,7.762,2023-05-24 14:00:27,0.0,,12.0,0.0,23.5,78.5,17.5,72.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,83,5,260.83,28.200000000000045,7.779,3,112,60.0,50.514101,-84.8118074,178,7.779,2023-05-24 14:00:28,0.0,,12.0,0.0,23.0,79.0,19.0,74.5,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,83,5,268.64,28.399999999999977,7.686,3,112,57.0,50.514146,-84.8117153,174,7.686,2023-05-24 14:00:29,0.0,,12.0,0.0,23.0,79.5,20.0,76.5,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,83,5,276.46,28.399999999999977,7.67,3,113,55.0,50.5141882,-84.8116169,178,7.67,2023-05-24 14:00:30,0.0,,12.0,0.0,22.5,79.5,21.5,78.0,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,84,5,284.12,28.399999999999977,7.658,3,113,55.0,50.5142289,-84.8115174,175,7.658,2023-05-24 14:00:31,0.0,,12.0,0.0,23.0,80.5,22.5,80.0,21.0,2023,5,24,14,1.33,13.0
28.600000000000023,84,5,291.79,28.600000000000023,7.472,3,113,56.0,50.5142705,-84.811423,168,7.472,2023-05-24 14:00:32,0.0,,12.0,0.0,24.5,82.0,23.5,81.5,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,84,5,299.49,28.399999999999977,7.513,3,114,55.0,50.5143113,-84.8113322,156,7.513,2023-05-24 14:00:33,0.0,,12.0,0.0,21.0,70.5,20.5,75.0,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,84,6,307.15,28.399999999999977,7.444,3,115,54.0,50.5143517,-84.8112355,157,7.444,2023-05-24 14:00:34,0.0,,12.0,0.0,20.0,72.0,21.5,78.0,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,84,6,314.92,28.399999999999977,7.41,3,115,52.0,50.514393,-84.8111345,157,7.41,2023-05-24 14:00:35,0.0,,12.0,0.0,20.0,72.5,22.5,80.5,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,84,6,322.43,28.399999999999977,7.258,3,116,56.0,50.5144341,-84.8110411,152,7.258,2023-05-24 14:00:36,0.0,,12.0,0.0,20.5,72.5,21.5,78.0,21.0,2023,5,24,14,1.33,13.0
28.600000000000023,85,6,330.14,28.600000000000023,7.354,3,116,59.0,50.5144752,-84.8109428,154,7.354,2023-05-24 14:00:37,0.0,,12.0,0.0,23.0,80.0,19.0,70.5,21.0,2023,5,24,14,1.33,13.0
28.600000000000023,85,6,337.68,28.600000000000023,7.404,3,116,54.0,50.5145184,-84.8108523,164,7.404,2023-05-24 14:00:38,0.0,,12.0,0.0,21.0,78.0,20.0,74.5,21.0,2023,5,24,14,1.33,13.0
28.799999999999955,86,6,345.6,28.799999999999955,7.416,3,117,53.0,50.5145644,-84.8107533,167,7.416,2023-05-24 14:00:39,0.0,,12.0,0.0,21.0,73.0,22.0,79.5,21.0,2023,5,24,14,1.33,13.0
28.799999999999955,87,6,353.75,28.799999999999955,7.568,3,117,53.0,50.5146036,-84.8106517,162,7.568,2023-05-24 14:00:40,0.0,,12.0,0.0,21.0,71.0,23.0,81.5,21.0,2023,5,24,14,1.33,13.0
28.600000000000023,87,7,361.63,28.600000000000023,7.622,3,117,52.0,50.5146386,-84.8105486,168,7.622,2023-05-24 14:00:41,0.0,,12.0,0.0,20.5,72.5,22.5,80.5,21.0,2023,5,24,14,1.33,13.0
28.600000000000023,88,7,369.8,28.600000000000023,7.603,3,117,52.0,50.5146794,-84.8104435,176,7.603,2023-05-24 14:00:42,0.0,,12.0,0.0,20.0,73.5,22.5,80.0,21.0,2023,5,24,14,1.33,13.0
28.600000000000023,88,7,378.08,28.600000000000023,7.674,3,117,53.0,50.5147174,-84.810335,185,7.674,2023-05-24 14:00:43,0.0,,12.0,0.0,19.5,75.0,22.0,79.0,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,87,7,385.94,28.399999999999977,7.387,3,117,56.0,50.5147608,-84.8102329,174,7.387,2023-05-24 14:00:44,0.0,,12.0,0.0,19.5,77.0,22.0,78.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,87,7,393.75,28.200000000000045,7.554,3,117,58.0,50.5148025,-84.8101334,168,7.554,2023-05-24 14:00:45,0.0,,12.0,0.0,20.5,79.0,21.0,76.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,87,8,401.14,28.200000000000045,7.402,3,118,57.0,50.5148481,-84.8100512,171,7.402,2023-05-24 14:00:46,0.0,,12.0,0.0,20.0,79.0,19.0,70.0,21.0,2023,5,24,14,1.33,13.0
28.0,86,8,409.0,28.0,7.325,3,119,56.0,50.5148996,-84.8099602,167,7.325,2023-05-24 14:00:47,0.0,,12.0,0.0,19.5,71.5,19.0,70.0,21.0,2023,5,24,14,1.33,13.0
28.0,85,8,416.5,28.0,7.315,3,119,53.0,50.5149533,-84.8098757,170,7.315,2023-05-24 14:00:48,0.0,94.0,12.0,0.0,20.5,74.5,20.5,74.0,21.0,2023,5,24,14,1.33,13.0
28.0,84,8,424.12,28.0,7.41,3,120,53.0,50.5150087,-84.8097995,177,7.41,2023-05-24 14:00:49,0.0,,12.0,0.0,22.0,80.0,22.5,79.5,21.0,2023,5,24,14,1.33,13.0
28.0,83,8,431.52,28.0,7.322,3,121,53.0,50.5150635,-84.8097194,178,7.322,2023-05-24 14:00:50,0.0,,12.0,0.0,22.5,83.0,24.0,83.0,21.0,2023,5,24,14,1.33,13.0
28.0,83,8,438.79,28.0,7.282,3,121,54.0,50.515117,-84.8096392,179,7.282,2023-05-24 14:00:51,0.0,,12.0,0.0,21.0,80.5,24.0,82.5,21.0,2023,5,24,14,1.33,13.0
28.0,83,9,446.37,28.0,7.253,3,121,55.0,50.5151752,-84.8095638,179,7.253,2023-05-24 14:00:52,0.0,,12.0,0.0,22.5,80.0,21.5,75.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,82,9,453.85,28.200000000000045,7.147,2,122,58.0,50.5152315,-84.8094903,167,7.147,2023-05-24 14:00:53,0.0,,12.0,0.0,20.0,75.0,19.0,68.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,81,9,461.39,28.200000000000045,7.335,2,122,56.0,50.5152894,-84.8094108,166,7.335,2023-05-24 14:00:54,0.0,,12.0,0.0,19.0,73.0,18.0,67.0,21.0,2023,5,24,14,1.33,13.0
28.0,81,9,468.93,28.0,7.333,2,123,55.0,50.515349,-84.8093422,173,7.333,2023-05-24 14:00:55,0.0,,12.0,0.0,20.0,74.5,18.5,69.0,21.0,2023,5,24,14,1.33,13.0
28.0,81,9,476.33,28.0,7.307,2,123,56.0,50.5154049,-84.8092643,176,7.307,2023-05-24 14:00:56,0.0,,12.0,0.0,22.5,78.0,19.5,72.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,82,9,483.46,28.200000000000045,7.439,2,123,55.0,50.5154616,-84.8091911,197,7.439,2023-05-24 14:00:57,0.0,,12.0,0.0,24.0,80.0,22.5,78.0,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,83,10,491.36,28.200000000000045,7.794,2,123,54.0,50.5155237,-84.8091121,228,7.794,2023-05-24 14:00:58,0.0,,12.0,0.0,24.0,81.0,23.0,80.0,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,84,10,499.51,28.200000000000045,7.774,2,124,55.0,50.5155847,-84.8090292,243,7.774,2023-05-24 14:00:59,0.0,,12.0,0.0,24.0,81.5,23.0,80.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,85,10,507.08,28.200000000000045,7.724,2,124,56.0,50.5156448,-84.808957,234,7.724,2023-05-24 14:01:00,0.0,,12.0,0.0,23.5,82.0,23.5,81.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,85,10,515.22,28.200000000000045,7.716,2,124,56.0,50.515704,-84.8088679,219,7.716,2023-05-24 14:01:01,0.0,,12.0,0.0,23.5,82.5,23.5,82.5,21.0,2023,5,24,14,1.33,13.0
28.0,85,11,523.24,28.0,7.738,2,124,53.0,50.5157633,-84.808789,206,7.738,2023-05-24 14:01:02,0.0,,12.0,0.0,23.5,83.5,23.5,82.5,21.0,2023,5,24,14,1.33,13.0
28.0,85,11,531.3,28.0,7.724,2,124,55.0,50.5158261,-84.8087019,201,7.724,2023-05-24 14:01:03,0.0,,12.0,0.0,24.0,84.0,23.5,82.5,21.0,2023,5,24,14,1.33,13.0
28.0,85,11,539.22,28.0,7.705,2,124,56.0,50.5158863,-84.8086249,205,7.705,2023-05-24 14:01:04,0.0,,12.0,0.0,23.5,84.5,23.0,82.5,21.0,2023,5,24,14,1.33,13.0
28.0,85,11,546.56,28.0,7.694,2,125,57.0,50.515946,-84.8085556,200,7.694,2023-05-24 14:01:05,0.0,,12.0,0.0,22.5,84.0,22.5,82.5,21.0,2023,5,24,14,1.33,13.0
28.0,84,11,554.31,28.0,7.379,2,125,58.0,50.5160116,-84.8084874,193,7.379,2023-05-24 14:01:06,0.0,,12.0,0.0,21.5,83.5,22.0,82.5,21.0,2023,5,24,14,1.33,13.0
28.0,83,12,562.07,28.0,7.362,2,126,59.0,50.516073,-84.8084084,176,7.362,2023-05-24 14:01:07,0.0,,12.0,0.0,22.0,81.5,22.0,82.5,21.0,2023,5,24,14,1.33,13.0
28.0,82,12,569.67,28.0,7.388,2,126,58.0,50.5161343,-84.8083351,168,7.388,2023-05-24 14:01:08,0.0,,12.0,0.0,19.5,72.0,22.0,82.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,82,12,577.0,28.200000000000045,7.37,2,126,57.0,50.5161933,-84.8082639,134,7.37,2023-05-24 14:01:09,0.0,,12.0,0.0,18.5,66.5,20.5,73.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,77,12,584.39,28.200000000000045,7.023,2,127,57.0,50.5162509,-84.8081956,120,7.023,2023-05-24 14:01:10,0.0,,12.0,0.0,17.0,62.5,19.0,65.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,51,12,591.63,28.200000000000045,7.029,2,127,56.0,50.5163096,-84.8081243,98,7.029,2023-05-24 14:01:11,0.0,,12.0,0.0,14.0,57.5,19.5,69.0,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,24,12,598.6,28.200000000000045,6.811,2,128,55.0,50.516365,-84.8080517,77,6.811,2023-05-24 14:01:12,0.0,,12.0,0.0,15.5,61.5,17.5,62.5,21.0,2023,5,24,14,1.33,13.0
28.200000000000045,0,12,605.27,28.200000000000045,6.519,2,128,58.0,50.5164152,-84.8079871,0,6.519,2023-05-24 14:01:13,0.0,,12.0,0.0,17.0,65.5,15.5,55.5,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,0,12,611.66,28.399999999999977,6.145,2,128,61.0,50.5164652,-84.8079235,0,6.145,2023-05-24 14:01:14,0.0,,12.0,0.0,18.5,69.5,14.0,49.0,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,0,12,617.68,28.399999999999977,5.95,2,128,63.0,50.5165147,-84.8078672,0,5.95,2023-05-24 14:01:15,0.0,,12.0,0.0,19.5,74.0,12.0,42.5,21.0,2023,5,24,14,1.33,13.0
28.600000000000023,0,12,624.07,28.600000000000023,6.029,2,128,66.0,50.5165625,-84.8078043,0,6.029,2023-05-24 14:01:16,0.0,,12.0,0.0,21.0,78.0,10.0,35.5,21.0,2023,5,24,14,1.33,13.0
28.600000000000023,0,12,629.88,28.600000000000023,5.467,2,128,69.0,50.5166012,-84.8077405,0,5.467,2023-05-24 14:01:17,0.0,,12.0,0.0,22.5,82.0,8.0,29.0,21.0,2023,5,24,14,1.33,13.0
28.799999999999955,0,12,634.99,28.799999999999955,4.534,2,127,72.0,50.5166406,-84.8076843,0,4.534,2023-05-24 14:01:18,0.0,,12.0,0.0,24.0,86.0,6.5,22.5,21.0,2023,5,24,14,1.33,13.0
28.799999999999955,3,12,639.83,28.799999999999955,4.199,2,127,74.0,50.5166817,-84.8076365,0,4.199,2023-05-24 14:01:19,0.0,,12.0,0.0,25.0,90.0,4.5,16.0,21.0,2023,5,24,14,1.33,13.0
28.799999999999955,36,12,644.43,28.799999999999955,4.352,2,126,77.0,50.5167174,-84.8075932,34,4.352,2023-05-24 14:01:20,0.0,,12.0,0.0,26.5,94.5,2.5,9.0,21.0,2023,5,24,14,1.33,13.0
29.0,56,12,649.19,29.0,4.453,2,126,80.0,50.5167581,-84.8075531,59,4.453,2023-05-24 14:01:21,0.0,,12.0,0.0,28.0,98.5,0.5,2.5,21.0,2023,5,24,14,1.33,13.0
29.0,66,12,654.27,29.0,4.87,2,125,74.0,50.5168102,-84.8075297,84,4.87,2023-05-24 14:01:22,0.0,,12.0,0.0,31.0,98.5,9.0,34.0,21.0,2023,5,24,14,1.33,13.0
29.0,70,13,659.36,29.0,4.923,2,125,66.0,50.5168653,-84.8075253,180,4.923,2023-05-24 14:01:23,0.0,,12.0,0.0,32.5,96.5,18.5,72.5,21.0,2023,5,24,14,1.33,13.0
29.200000000000045,75,13,664.76,29.200000000000045,5.29,2,123,59.0,50.5169195,-84.8075459,217,5.29,2023-05-24 14:01:24,0.0,,12.0,0.0,30.0,96.0,20.5,82.0,21.0,2023,5,24,14,1.33,13.0
29.200000000000045,81,13,670.61,29.200000000000045,5.877,2,123,51.0,50.5169733,-84.807593,239,5.877,2023-05-24 14:01:25,0.0,,12.0,0.0,26.0,90.5,22.5,86.0,21.0,2023,5,24,14,1.33,13.0
29.200000000000045,77,13,676.42,29.200000000000045,6.112,2,122,45.0,50.5170206,-84.8076494,235,6.112,2023-05-24 14:01:26,0.0,,12.0,0.0,21.5,75.5,20.5,73.0,21.0,2023,5,24,14,1.33,13.0
29.200000000000045,67,13,683.03,29.200000000000045,6.262,2,122,42.0,50.5170696,-84.8077159,137,6.262,2023-05-24 14:01:27,0.0,,12.0,0.0,16.5,61.0,14.5,50.5,21.0,2023,5,24,14,1.33,13.0
29.0,57,13,689.72,29.0,6.471,2,122,62.0,50.5171193,-84.8077874,102,6.471,2023-05-24 14:01:28,0.0,,12.0,0.0,14.0,57.5,7.5,28.5,21.0,2023,5,24,14,1.33,13.0
29.0,41,13,696.31,29.0,6.528,2,122,82.0,50.5171701,-84.8078478,85,6.528,2023-05-24 14:01:29,0.0,,12.0,0.0,16.0,69.5,4.0,18.0,21.0,2023,5,24,14,1.33,13.0
29.0,25,13,702.9,29.0,6.521,2,122,80.0,50.5172203,-84.8079162,69,6.521,2023-05-24 14:01:30,0.0,,12.0,0.0,18.0,72.5,6.0,24.5,21.0,2023,5,24,14,1.33,13.0
29.0,10,13,709.42,29.0,6.517,2,123,78.0,50.5172701,-84.8079818,52,6.517,2023-05-24 14:01:31,0.0,,12.0,0.0,19.5,75.0,8.0,31.5,21.0,2023,5,24,14,1.33,13.0
29.0,0,13,715.83,29.0,6.208,2,123,75.0,50.5173142,-84.8080536,0,6.208,2023-05-24 14:01:32,0.0,,12.0,0.0,21.5,78.0,10.0,38.5,21.0,2023,5,24,14,1.33,13.0
29.0,0,13,722.02,29.0,6.138,2,123,73.0,50.517358,-84.8081187,0,6.138,2023-05-24 14:01:33,0.0,,12.0,0.0,23.0,81.0,12.0,45.0,21.0,2023,5,24,14,1.33,13.0
29.0,0,13,728.38,29.0,6.305,2,123,71.0,50.5174034,-84.808189,0,6.305,2023-05-24 14:01:34,0.0,,12.0,0.0,24.5,84.0,14.0,52.0,21.0,2023,5,24,14,1.33,13.0
29.0,0,13,734.74,29.0,6.005,2,122,69.0,50.5174463,-84.8082631,0,6.005,2023-05-24 14:01:35,0.0,,12.0,0.0,26.5,87.0,16.0,59.0,21.0,2023,5,24,14,1.33,13.0
29.0,0,13,740.73,29.0,6.21,2,123,66.0,50.5174903,-84.8083285,0,6.21,2023-05-24 14:01:36,0.0,,12.0,0.0,28.0,90.0,18.5,65.5,21.0,2023,5,24,14,1.33,13.0
29.0,6,13,746.78,29.0,6.134,2,122,64.0,50.5175356,-84.8083918,16,6.134,2023-05-24 14:01:37,0.0,,12.0,0.0,30.0,93.0,20.5,72.5,21.0,2023,5,24,14,1.33,13.0
28.799999999999955,56,14,753.14,28.799999999999955,6.423,2,121,62.0,50.5175811,-84.8084555,59,6.423,2023-05-24 14:01:38,0.0,,12.0,0.0,31.5,95.5,22.5,79.5,21.0,2023,5,24,14,1.33,13.0
28.799999999999955,68,14,759.82,28.799999999999955,6.781,2,120,60.0,50.517633,-84.8085256,127,6.781,2023-05-24 14:01:39,0.0,,12.0,0.0,33.5,98.5,24.5,86.0,21.0,2023,5,24,14,1.33,13.0
28.600000000000023,78,14,766.88,28.600000000000023,7.002,2,119,59.0,50.5176889,-84.8085932,303,7.002,2023-05-24 14:01:40,0.0,,12.0,0.0,30.5,99.5,25.5,92.5,21.0,2023,5,24,14,1.33,13.0
28.600000000000023,81,14,774.01,28.600000000000023,7.187,2,119,57.0,50.5177542,-84.8086502,298,7.187,2023-05-24 14:01:41,0.0,,12.0,0.0,26.5,96.5,26.5,96.0,21.0,2023,5,24,14,1.33,13.0
28.600000000000023,83,15,781.26,28.600000000000023,7.638,2,119,56.0,50.5178232,-84.8086895,271,7.638,2023-05-24 14:01:42,0.0,,12.0,0.0,24.0,93.5,26.0,94.5,21.0,2023,5,24,14,1.33,13.0
28.600000000000023,85,15,789.18,28.600000000000023,8.027,2,119,55.0,50.5179021,-84.8087388,257,8.027,2023-05-24 14:01:43,0.0,,12.0,0.0,23.0,91.5,24.0,89.5,21.0,2023,5,24,14,1.33,13.0
28.600000000000023,87,15,797.29,28.600000000000023,8.231,2,119,54.0,50.5179843,-84.8087804,245,8.231,2023-05-24 14:01:44,0.0,,12.0,0.0,24.0,88.0,24.5,87.5,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,88,15,805.47,28.399999999999977,8.01,2,119,55.0,50.5180673,-84.8088173,229,8.01,2023-05-24 14:01:45,0.0,,12.0,0.0,22.0,83.0,24.0,87.5,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,85,16,813.37,28.399999999999977,8.069,2,119,55.0,50.5181447,-84.8088598,216,8.069,2023-05-24 14:01:46,0.0,,12.0,0.0,21.5,80.5,22.5,86.0,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,81,16,821.47,28.399999999999977,8.055,2,119,54.0,50.5182268,-84.808906,217,8.055,2023-05-24 14:01:47,0.0,,12.0,0.0,22.0,81.0,21.5,83.5,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,81,16,829.5,28.399999999999977,8.299,2,119,55.0,50.5183064,-84.8089438,226,8.299,2023-05-24 14:01:48,0.0,,12.0,0.0,23.5,84.0,21.0,80.5,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,82,16,837.85,28.399999999999977,8.093,2,120,56.0,50.5183904,-84.8089879,228,8.093,2023-05-24 14:01:49,0.0,,12.0,0.0,25.5,87.0,20.0,78.0,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,83,16,846.02,28.399999999999977,7.956,2,121,58.0,50.5184705,-84.8090343,224,7.956,2023-05-24 14:01:50,0.0,,12.0,0.0,25.0,87.0,20.0,77.0,21.0,2023,5,24,14,1.33,13.0
28.399999999999977,83,17,853.9,28.399999999999977,8.147,2,122,56.0,50.5185484,-84.8090782,210,8.147,2023-05-24 14:01:51,0.0,,12.0,0.0,24.5,87.0,20.0,77.0,21.0,2023,5,24,14,1.33,13.0
